,Date,Close
956,2014-08-14,507.99
957,2014-08-15,500.25
958,2014-08-16,521.97
959,2014-08-17,496.86
960,2014-08-18,475.22
961,2014-08-19,491.98
962,2014-08-20,516.39
963,2014-08-21,519.28
964,2014-08-22,514.65
965,2014-08-23,497.0
966,2014-08-24,507.85
967,2014-08-25,503.82
968,2014-08-26,512.18
969,2014-08-27,511.87
970,2014-08-28,506.0
971,2014-08-29,509.3
972,2014-08-30,500.85
973,2014-08-31,479.04
974,2014-09-01,474.54
975,2014-09-02,474.5
976,2014-09-03,474.89
977,2014-09-04,487.43
978,2014-09-05,477.65
979,2014-09-06,479.78
980,2014-09-07,475.43
981,2014-09-08,468.33
982,2014-09-09,473.2
983,2014-09-10,476.57
984,2014-09-11,475.9
985,2014-09-12,474.62
986,2014-09-13,477.98
987,2014-09-14,475.49
988,2014-09-15,469.47
989,2014-09-16,462.02
990,2014-09-17,452.09
991,2014-09-18,425.0
992,2014-09-19,395.86
993,2014-09-20,408.76
994,2014-09-21,399.55
995,2014-09-22,400.07
996,2014-09-23,438.97
997,2014-09-24,423.68
998,2014-09-25,408.76
999,2014-09-26,403.57
1000,2014-09-27,401.77
1001,2014-09-28,375.35
1002,2014-09-29,374.2
1003,2014-09-30,391.09
1004,2014-10-01,384.86
1005,2014-10-02,374.68
1006,2014-10-03,358.74
1007,2014-10-04,326.21
1008,2014-10-05,323.52
1009,2014-10-06,328.59
1010,2014-10-07,334.8
1011,2014-10-08,355.73
1012,2014-10-09,364.01
1013,2014-10-10,360.89
1014,2014-10-11,362.0
1015,2014-10-12,378.11
1016,2014-10-13,392.6
1017,2014-10-14,403.38
1018,2014-10-15,394.52
1019,2014-10-16,383.95
1020,2014-10-17,383.65
1021,2014-10-18,390.58
1022,2014-10-19,387.53
1023,2014-10-20,381.21
1024,2014-10-21,385.81
1025,2014-10-22,382.04
1026,2014-10-23,357.18
1027,2014-10-24,358.86
1028,2014-10-25,348.69
1029,2014-10-26,355.18
1030,2014-10-27,350.0
1031,2014-10-28,356.96
1032,2014-10-29,335.7
1033,2014-10-30,346.14
1034,2014-10-31,337.99
1035,2014-11-01,324.7
1036,2014-11-02,324.36
1037,2014-11-03,325.5
1038,2014-11-04,330.22
1039,2014-11-05,338.38
1040,2014-11-06,349.99
1041,2014-11-07,342.16
1042,2014-11-08,345.39
1043,2014-11-09,364.77
1044,2014-11-10,366.43
1045,2014-11-11,370.65
1046,2014-11-12,426.63
1047,2014-11-13,420.93
1048,2014-11-14,399.98
1049,2014-11-15,376.99
1050,2014-11-16,389.86
1051,2014-11-17,387.69
1052,2014-11-18,374.88
1053,2014-11-19,379.03
1054,2014-11-20,356.47
1055,2014-11-21,351.2
1056,2014-11-22,353.12
1057,2014-11-23,367.17
1058,2014-11-24,375.99
1059,2014-11-25,377.37
1060,2014-11-26,368.5
1061,2014-11-27,369.98
1062,2014-11-28,376.86
1063,2014-11-29,375.49
1064,2014-11-30,377.01
1065,2014-12-01,376.53
1066,2014-12-02,379.52
1067,2014-12-03,375.33
